title,location,link
Sell on Jumia,Unknown,/marketplace-vendor/
Help Center,Unknown,https://www.jumia.com.ng/sp-help-center/
Place an order,Unknown,https://www.jumia.com.ng/sp-help-center/?page=place+an+order
Payment options,Unknown,https://www.jumia.com.ng/sp-help-center/?page=pay+for+your+order
Track an order,Unknown,https://www.jumia.com.ng/sp-help-center/?page=track+your+order
Cancel an order,Unknown,https://www.jumia.com.ng/sp-help-center/?page=cancel+an+order
Returns & Refunds,Unknown,https://www.jumia.com.ng/sp-help-center/?page=create+a+return
Privacy and Cookie notice,Unknown,/sp-privacy/
Small Appliances,Unknown,/kitchen-dinning-small-appliances/
Deep Fryers,Unknown,/deep-fryers/
Rice Cookers,Unknown,/rice-cooker/
Toasters & Ovens,Unknown,/ovens-toasters/
Vacuum Cleaners,Unknown,/vacuum-cleaners/
Yam Pounders,Unknown,/yam-pounder/
Electric Cookware,Unknown,https://www.jumia.com.ng/electric-cookware/
Electric Drink Mixers,Unknown,https://www.jumia.com.ng/electric-drink-mixers/
Food Processors,Unknown,https://www.jumia.com.ng/food-processors/
Coffee Makers,Unknown,https://www.jumia.com.ng/coffee-makers/
Electric Pressure Cookers,Unknown,https://www.jumia.com.ng/electric-pressure-cookers/
Large Appliances,Unknown,/home-improvement-appliances/
Washing Machines,Unknown,/appliances-washers-dryers/
Air Conditioners,Unknown,/air-conditioners-d/
Air Purifiers,Unknown,/air-purifier/?shipped_from=country_local
Water Dispensers,Unknown,/water-dispenser/
Generators & Inverters,Unknown,/patio-lawn-garden/
Home Appliances,Unknown,/home-office-appliances/
Phones & Tablets,Unknown,/phones-tablets/
Mobile Phones,Unknown,/mobile-phones/
Smartphones,Unknown,/smartphones/
Android Phones,Unknown,/android-phones/
Basic Phones,Unknown,/cell-phones/
Refurbished Phones,Unknown,/mlp-refurbished-phones/
Rugged Phones,Unknown,/mlp-rugged-phone/
Cordless Telephones,Unknown,https://www.jumia.com.ng/cordless-telephones/
Dual Sim Phones,Unknown,https://www.jumia.com.ng/mlp-dual-sim/
Android Tablets,Unknown,/other-tablets/
Educational Tablets,Unknown,/educational-tablets/
Tablet Accessories,Unknown,/tablet-accessories/
Amazon Fire Tablets,Unknown,https://www.jumia.com.ng/mlp-amazon-fire-tablet/
Microsoft Tablets,Unknown,https://www.jumia.com.ng/tablets/microsoft/
Mobile Accessories,Unknown,/mobile-accessories/
Accessory Kits,Unknown,/mobile-phone-accessory-kits/
Battery Chargers,Unknown,/mobile-phone-chargers-adaptors/
Bluetooth Headsets,Unknown,/mobile-phone-bluetooth-headsets/
Car Accessories,Unknown,/mobile-phones-car-accessories/
Earphones & Headsets,Unknown,/mobile-phone-headsets/
MicroSD Cards,Unknown,/micro-sd-cards/
Screen Protectors,Unknown,/mobile-phone-screen-protectors/
Selfie Sticks & Tripods,Unknown,/selfie-sticks-tripods/
Smart Watches,Unknown,/smart-watches/
Power Banks,Unknown,/mobile-phone-accessories-power-banks/
Phone Camera Lenses,Unknown,https://www.jumia.com.ng/mlp-phone-lenses/
Top Smartphones,Unknown,/smartphones/
iPhone 15 & 15 Pro Max,Unknown,/mlp-iphone-15/
Samsung Galaxy S24 & S24 Ultra,Unknown,/mlp-samsung-galaxy-s24/
Tecno Spark 20 & 20 Pro,Unknown,/catalog/?q=iphone+11
Itel S23 & S23 Plus,Unknown,/mlp-itel-s23/
Infinix Smart 8,Unknown,/mlp-infinix-smart-8/
Xiaomi Redmi 13c,Unknown,/mlp-xiaomi-redmi-13c/
Infinix Hot 40i,Unknown,/mlp-infinix-hot-40i/
Tecno Pop 8,Unknown,/mlp-tecno-pop-8/
Top Phone Brands,Unknown,mlp-official-stores/mobile-phones/
Health & Beauty,Unknown,/health-beauty/
Concealers & Color Correctors,Unknown,/concealers-neutralizers-makeup/
Eyeliner & Kajal,Unknown,/eyeliner-makeup/
Personal Care,Unknown,/personal-care-d/
Sunscreens & Tanning Products,Unknown,/personal-skin-care-sunscreens-tanning-products/
Contraceptives & Lubricants,Unknown,/safer-sex-products/
Piercing & Tattoo Supplies,Unknown,/personal-care-styling-piercing-tattoo-supplies/
Deodorants & Antiperspirants,Unknown,/styling-products-deodorant-antiperspirants/
Hair Cutting Tools,Unknown,/hair-cutting-tools/
Shampoo & Conditioner,Unknown,/shampoo-conditioner-sets/
Wigs & Accessories,Unknown,/extensions-wigs-accessories/
Teeth Whitening,Unknown,/teeth-whitening/
Health Care,Unknown,/health-care/
Medical Supplies & Equipment,Unknown,/medical-supplies-equipment/
Alternative Medicine,Unknown,/alternative-medicine/
Feminine Care,Unknown,/feminine-hygiene/
Diabetes Care,Unknown,/diabetes-care/
Vitamins & Dietary Supplements,Unknown,/sp-supplement-disclaimer/
Vitamins & Minerals,Unknown,/sp-supplement-disclaimer-vitamins/
Supplements,Unknown,/sp-supplement-disclaimer/
Multi & Prenatal Vitamins,Unknown,/sp-supplement-disclaimer-health-supliment-multi-prenatal-Vitamins/
Home & Office,Unknown,/home-office/
Home & Kitchen,Unknown,/home-kitchen/
Home Furniture,Unknown,/home-kitchen-furniture/
Vacuums & Floor Care,Unknown,/floor-care/
Small Appliances,Unknown,/kitchen-dinning-small-appliances/
Cutlery & Knife Accessories,Unknown,/cutlery-kinfe-accessories/
Office Products,Unknown,/office-products/
Office & School Supplies,Unknown,/office-school-supplies/
Office Furniture & Lighting,Unknown,/office-furniture-lighting/
Packaging Materials,Unknown,/packing-materials/
Home & Office Furniture,Unknown,/home-furniture/
Kitchen & Dining,Unknown,/kitchen-dining-room-furniture/
Storage & Organization,Unknown,/storage-organization-home-office/
Outdoor & Garden,Unknown,/patio-lawn-garden/
Electronics,Unknown,/electronics/
Television & Video,Unknown,/electronic-television-video/
